"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094263","BREMERTON, WA US","2018-05-29",,"62","45"
"USW00094263","BREMERTON, WA US","2018-05-30",,"66","44"
"USW00094263","BREMERTON, WA US","2018-05-31",,"60","42"
"USW00094263","BREMERTON, WA US","2018-06-01",,"65","45"
"USW00094263","BREMERTON, WA US","2018-06-02",,"77","47"
"USW00094263","BREMERTON, WA US","2018-06-03",,"60","45"
"USW00094263","BREMERTON, WA US","2018-06-04",,"63","45"
"USW00094263","BREMERTON, WA US","2018-06-05",,"65","43"
"USW00094263","BREMERTON, WA US","2018-06-06",,"75","41"
"USW00094263","BREMERTON, WA US","2018-06-07",,"66","49"
"USW00094263","BREMERTON, WA US","2018-06-08",,"59","50"
"USW00094263","BREMERTON, WA US","2018-06-09",,"61","43"
"USW00094263","BREMERTON, WA US","2018-06-10",,"60","45"
"USW00094263","BREMERTON, WA US","2018-06-11",,"66","42"
"USW00094263","BREMERTON, WA US","2018-06-12",,"66","47"
"USW00094263","BREMERTON, WA US","2018-06-13",,"67","48"
"USW00094263","BREMERTON, WA US","2018-06-14",,"64","49"
"USW00094263","BREMERTON, WA US","2018-06-15",,"68","44"
"USW00094263","BREMERTON, WA US","2018-06-16",,"77","47"
"USW00094263","BREMERTON, WA US","2018-06-17",,"87","48"
"USW00094263","BREMERTON, WA US","2018-06-18",,"87","51"
"USW00094263","BREMERTON, WA US","2018-06-19",,"84","57"
"USW00094263","BREMERTON, WA US","2018-06-20",,"88","56"
"USW00094263","BREMERTON, WA US","2018-06-21",,"65","52"
"USW00094263","BREMERTON, WA US","2018-06-22",,"67","50"
"USW00094263","BREMERTON, WA US","2018-06-23",,"69","49"
"USW00094263","BREMERTON, WA US","2018-06-24",,"77","49"
"USW00094263","BREMERTON, WA US","2018-06-25",,"69","47"
"USW00094263","BREMERTON, WA US","2018-06-26",,"68","46"
"USW00094263","BREMERTON, WA US","2018-06-27",,"66","42"
"USW00094263","BREMERTON, WA US","2018-06-28",,"64","44"
"USW00094263","BREMERTON, WA US","2018-06-29",,"69","51"
"USW00094263","BREMERTON, WA US","2018-06-30",,"68","51"
"USW00094263","BREMERTON, WA US","2018-07-01",,"66","55"
"USW00094263","BREMERTON, WA US","2018-07-02",,"69","44"
"USW00094263","BREMERTON, WA US","2018-07-03",,"74","42"
"USW00094263","BREMERTON, WA US","2018-07-04",,"82","56"
"USW00094263","BREMERTON, WA US","2018-07-05",,"83","50"
"USW00094263","BREMERTON, WA US","2018-07-06",,"76","51"
"USW00094263","BREMERTON, WA US","2018-07-07",,"73","56"
"USW00094263","BREMERTON, WA US","2018-07-08",,"80","47"
"USW00094263","BREMERTON, WA US","2018-07-09",,"72","52"
"USW00094263","BREMERTON, WA US","2018-07-10",,"72","52"
"USW00094263","BREMERTON, WA US","2018-07-11",,"81","49"
"USW00094263","BREMERTON, WA US","2018-07-12",,"87","49"
"USW00094263","BREMERTON, WA US","2018-07-13",,"86","52"
"USW00094263","BREMERTON, WA US","2018-07-14",,"85","50"
"USW00094263","BREMERTON, WA US","2018-07-15",,"92","50"
"USW00094263","BREMERTON, WA US","2018-07-16",,"93","50"
"USW00094263","BREMERTON, WA US","2018-07-17",,"83","52"
"USW00094263","BREMERTON, WA US","2018-07-18",,"78","55"
"USW00094263","BREMERTON, WA US","2018-07-19",,"65","50"
"USW00094263","BREMERTON, WA US","2018-07-20",,"73","52"
"USW00094263","BREMERTON, WA US","2018-07-21",,"78","42"
"USW00094263","BREMERTON, WA US","2018-07-22",,"86","47"
"USW00094263","BREMERTON, WA US","2018-07-23",,"90","51"
"USW00094263","BREMERTON, WA US","2018-07-24",,"89","50"
"USW00094263","BREMERTON, WA US","2018-07-25",,"91","52"
"USW00094263","BREMERTON, WA US","2018-07-26",,"93","55"
